"filename", "language", "C++", "comment", "blank", "total"
"/workspaces/EconomicSimulator/include/components/goods_supplier.hpp", "C++", 1, 0, 0, 1
"/workspaces/EconomicSimulator/include/components/labor_demander.hpp", "C++", 7, 0, 0, 7
"/workspaces/EconomicSimulator/include/components/labor_supplier.hpp", "C++", 6, 0, 2, 8
"/workspaces/EconomicSimulator/include/core/values/cross.hpp", "C++", -8, 0, -2, -10
"/workspaces/EconomicSimulator/include/core/values/goods.hpp", "C++", 1, 0, 0, 1
"/workspaces/EconomicSimulator/include/core/values/labor.hpp", "C++", 1, 0, 1, 2
"/workspaces/EconomicSimulator/include/world/message.hpp", "C++", 5, 0, 2, 7
"/workspaces/EconomicSimulator/src/components.cpp", "C++", -77, 0, -10, -87
"/workspaces/EconomicSimulator/src/components/components.cpp", "C++", 77, 0, 10, 87
"/workspaces/EconomicSimulator/src/components/labor_demander/lay_offs.cpp", "C++", 2, 0, 2, 4
"/workspaces/EconomicSimulator/src/components/labor_demander/offer.cpp", "C++", -6, 0, 0, -6
"Total", "-", 9, 0, 5, 14
