"filename", "language", "C++", "CMake", "Python", "comment", "blank", "total"
"/workspaces/EconomicSimulator/CMakeLists.txt", "CMake", 0, 59, 0, 0, 11, 70
"/workspaces/EconomicSimulator/include/analysis/analysis.hpp", "C++", 31, 0, 0, 0, 7, 38
"/workspaces/EconomicSimulator/include/analysis/context_task.hpp", "C++", 65, 0, 0, 0, 19, 84
"/workspaces/EconomicSimulator/include/analysis/data_manager.hpp", "C++", 102, 0, 0, 0, 10, 112
"/workspaces/EconomicSimulator/include/analysis/pipeline.hpp", "C++", 21, 0, 0, 0, 8, 29
"/workspaces/EconomicSimulator/include/components/common.hpp", "C++", 39, 0, 0, 0, 8, 47
"/workspaces/EconomicSimulator/include/components/goods_demander.hpp", "C++", 40, 0, 0, 0, 6, 46
"/workspaces/EconomicSimulator/include/components/goods_supplier.hpp", "C++", 126, 0, 0, 0, 13, 139
"/workspaces/EconomicSimulator/include/components/labor_demander.hpp", "C++", 153, 0, 0, 0, 19, 172
"/workspaces/EconomicSimulator/include/components/labor_supplier.hpp", "C++", 179, 0, 0, 0, 18, 197
"/workspaces/EconomicSimulator/include/config.hpp", "C++", 40, 0, 0, 0, 8, 48
"/workspaces/EconomicSimulator/include/core/base.hpp", "C++", 40, 0, 0, 0, 9, 49
"/workspaces/EconomicSimulator/include/core/engine.hpp", "C++", 63, 0, 0, 1, 15, 79
"/workspaces/EconomicSimulator/include/core/forward.hpp", "C++", 31, 0, 0, 0, 2, 33
"/workspaces/EconomicSimulator/include/core/values/common.hpp", "C++", 65, 0, 0, 0, 8, 73
"/workspaces/EconomicSimulator/include/core/values/goods.hpp", "C++", 105, 0, 0, 0, 7, 112
"/workspaces/EconomicSimulator/include/core/values/labor.hpp", "C++", 107, 0, 0, 0, 8, 115
"/workspaces/EconomicSimulator/include/helper.hpp", "C++", 74, 0, 0, 0, 13, 87
"/workspaces/EconomicSimulator/include/orchestrator/goods.hpp", "C++", 27, 0, 0, 0, 8, 35
"/workspaces/EconomicSimulator/include/orchestrator/labor.hpp", "C++", 33, 0, 0, 0, 10, 43
"/workspaces/EconomicSimulator/include/orchestrator/updates_loggings.hpp", "C++", 8, 0, 0, 0, 3, 11
"/workspaces/EconomicSimulator/include/world/message.hpp", "C++", 100, 0, 0, 0, 27, 127
"/workspaces/EconomicSimulator/scripts/load.py", "Python", 0, 0, 36, 0, 6, 42
"/workspaces/EconomicSimulator/scripts/main.py", "Python", 0, 0, 14, 0, 5, 19
"/workspaces/EconomicSimulator/scripts/plot.py", "Python", 0, 0, 50, 0, 12, 62
"/workspaces/EconomicSimulator/src/analysis/pipeline.cpp", "C++", 32, 0, 0, 0, 7, 39
"/workspaces/EconomicSimulator/src/app_main.cpp", "C++", 7, 0, 0, 0, 2, 9
"/workspaces/EconomicSimulator/src/components/components.cpp", "C++", 77, 0, 0, 0, 10, 87
"/workspaces/EconomicSimulator/src/components/goods_demander.cpp", "C++", 54, 0, 0, 0, 8, 62
"/workspaces/EconomicSimulator/src/components/goods_supplier/calc_employ.cpp", "C++", 23, 0, 0, 0, 4, 27
"/workspaces/EconomicSimulator/src/components/goods_supplier/posting.cpp", "C++", 55, 0, 0, 0, 9, 64
"/workspaces/EconomicSimulator/src/components/goods_supplier/trade.cpp", "C++", 71, 0, 0, 0, 9, 80
"/workspaces/EconomicSimulator/src/components/labor_demander/lay_offs.cpp", "C++", 17, 0, 0, 0, 3, 20
"/workspaces/EconomicSimulator/src/components/labor_demander/offer.cpp", "C++", 41, 0, 0, 0, 8, 49
"/workspaces/EconomicSimulator/src/components/labor_demander/posting.cpp", "C++", 45, 0, 0, 0, 7, 52
"/workspaces/EconomicSimulator/src/components/labor_demander/register.cpp", "C++", 26, 0, 0, 0, 4, 30
"/workspaces/EconomicSimulator/src/engine/initialize.cpp", "C++", 55, 0, 0, 21, 5, 81
"/workspaces/EconomicSimulator/src/engine/run.cpp", "C++", 104, 0, 0, 0, 24, 128
"/workspaces/EconomicSimulator/src/orchestrator/goods.cpp", "C++", 39, 0, 0, 0, 8, 47
"/workspaces/EconomicSimulator/src/orchestrator/labor.cpp", "C++", 59, 0, 0, 0, 10, 69
"/workspaces/EconomicSimulator/src/orchestrator/updates_loggings.cpp", "C++", 77, 0, 0, 0, 10, 87
"Total", "-", 2231, 59, 100, 22, 388, 2800
